Date,Open,High,Low,Close,Volume,Adj Close
01/10/2004,53.78,54.6,50.5,54.2,5227500,12.5896
01/11/2004,54.4,64,54.05,63.02,4282600,14.6383
01/12/2004,62.99,70.51,60.4,70.14,3516600,16.2921
03/01/2005,70.13,72.5,62.95,71.97,6224100,16.7172
01/02/2005,71.97,78.47,71,76.8,5503000,17.8391
01/03/2005,76.5,77.5,67.2,72.75,4712400,16.8984
01/04/2005,72.7,73.1,63,71.41,4747300,16.5871
02/05/2005,71.7,74.11,67.01,72.5,2752600,16.8403
01/06/2005,72.5,75.61,70.21,70.89,3351100,16.4663
01/07/2005,70.9,91.2,70.9,89.92,3990500,20.8866
01/08/2005,89.92,100.1,84.65,88.5,3635600,20.5568
01/09/2005,88.5,97.7,88.5,96.15,4052100,22.3337
03/10/2005,96.35,98,84,91.96,5742000,21.3604
01/11/2005,91.87,94.15,22.7,22.87,4899300,21.249
01/12/2005,22.76,23.12,20.63,22.28,5198700,20.7008
02/01/2006,22.22,25.4,21.92,24.86,6831000,23.0979
01/02/2006,24.86,27,23.25,25.61,6995200,23.7947
01/03/2006,25.56,26.3,23.29,25.89,6189200,24.0549
03/04/2006,25.89,29.75,24.6,28.9,5143000,26.8515
02/05/2006,28.9,32.01,25.4,26.86,6517500,24.9561
01/06/2006,28.51,30.19,24.7,26.25,6434100,24.3894
03/07/2006,26.69,31.8,26.5,30.12,4139400,27.9851
01/08/2006,30,33.03,29.6,32,2679700,29.7318
01/09/2006,32.01,36.6,31.65,34.66,4161500,32.2033
02/10/2006,34.5,39.5,33.3,38.74,5843700,35.9941
01/11/2006,38.9,44.22,37.57,40.97,4626600,38.066
01/12/2006,40.97,42.37,40.8,42.25,3103900,39.2553
01/01/2007,42.25,44.4,40.99,43.77,4147000,40.6675
01/02/2007,43.77,47.8,42.41,43.61,6992100,40.5189
01/03/2007,43,52.49,41.5,52.3,4053200,48.5929
02/04/2007,52.3,55,45.69,47.56,5540800,44.1889
01/05/2007,47.56,52.05,47,50.11,3978300,46.5582
01/06/2007,50.3,52.5,46.7,49.58,3904100,46.0657
02/07/2007,49.58,51.95,42.01,49.64,5231600,46.1215
01/08/2007,49.54,50,41,44.99,5391800,41.8011
03/09/2007,45.1,46.65,42.1,42.92,6407200,39.8778
01/10/2007,42.9,51.8,42.9,49.16,4837200,45.6755
01/11/2007,49,52.29,43.2,47.33,4341500,43.9752
03/12/2007,47.33,49.6,43.01,45.08,2891700,41.8847
01/01/2008,45.08,46.99,39.99,44.66,4572200,41.4945
01/02/2008,44.55,47,40.4,42.97,3956500,39.9242
03/03/2008,42.97,46.8,42.6,46.14,4244900,42.8695
01/04/2008,46.2,49.39,44.01,46.31,6074100,43.0275
01/05/2008,46.31,51.81,46.31,50.15,3715000,46.5953
02/06/2008,50.15,50.55,45.31,48.47,3953100,45.0344
01/07/2008,48.45,48.45,40.55,43.46,4118000,40.3795
01/08/2008,43.4,43.5,39.8,41.43,2763000,38.4934
01/09/2008,41.4,41.99,30.02,34.92,5198500,32.4448
01/10/2008,34,36.9,15,24.81,3576500,23.0514
03/11/2008,24.8,28,17.59,21.41,4727100,19.8924
01/12/2008,21,25,19.18,24.88,4934500,23.1165
01/01/2009,24.88,27.8,17.4,18.93,7083000,17.5882
02/02/2009,18.93,21.54,15.99,16.09,6033900,14.9495
02/03/2009,15.89,23.1,13.04,18.83,6890500,17.4953
01/04/2009,18.83,23.85,18.5,21.3,4952100,19.7902
01/05/2009,21.3,31.95,21.3,31,4284400,28.8027
01/06/2009,31.67,35.1,29.61,31.9,4688500,29.6389
01/07/2009,31.76,38.99,31.7,32.73,4083300,30.4101
03/08/2009,33,41.15,32.8,39.39,4913500,36.598
01/09/2009,39.55,48,37.55,45.16,4453500,41.959
01/10/2009,45.19,47,38.15,43.31,4849600,40.4044
02/11/2009,43.31,51,40.1,44.69,3333300,41.6918
01/12/2009,44.8,49.41,43.41,47.18,3810100,44.0148
01/01/2010,47.18,48.12,41.25,42.92,4484700,40.0406
01/02/2010,42.92,48.9,42.92,47.78,4718500,44.7333
01/03/2010,48.08,55.9,47.22,54.57,5446900,51.0903
01/04/2010,54.84,57.39,49.5,51.12,5556100,47.8603
03/05/2010,52.4,53.4,45.25,50.51,6603900,47.4431
01/06/2010,50.21,55.95,47.6,50.14,4188400,47.0956
01/07/2010,49.98,50.69,48.2,49.55,5610900,46.5414
02/08/2010,50.99,51.1,45.7,47.49,4173800,44.6065
01/09/2010,48.75,51.63,46.45,47.71,5711300,44.8131
01/10/2010,48.59,54.25,47.5,52.67,5737900,49.6448
01/11/2010,53.26,55.1,52,53.79,4010800,50.7005
01/12/2010,54.84,60.8,53.51,58.86,3890300,55.4793
03/01/2011,58.49,60.19,52.82,53.98,4472100,50.8796
01/02/2011,54,57.1,52.1,54.96,8535400,51.8033
02/03/2011,53.9,56.09,51.9,55.98,4264800,52.7647
04/04/2011,56.89,60.64,55,57.97,9894700,54.6404
02/05/2011,57.11,59,53.22,53.94,8110200,51.0039
01/06/2011,53.37,55.25,50.36,53.3,4347800,50.3987
01/07/2011,53.5,55.16,49.17,51.29,4772300,48.4981
01/08/2011,51.4,52.09,39.7,50.18,9302500,47.4485
01/09/2011,47.6,49.5,37.8,40.99,5828700,38.7588
03/10/2011,41.16,47.79,39.31,45.45,6208400,43.1421
01/11/2011,44.99,48.49,42.01,46.15,5643600,43.8065
01/12/2011,46.9,48.08,40.48,42.25,4949900,40.1046
02/01/2012,43.2,53.34,42.4,51.94,7407700,49.3025
01/02/2012,52.3,54.88,50.06,52,5217100,49.515
01/03/2012,52.59,58.2,52.59,56.87,4768100,54.1522
02/04/2012,57.15,65.4,55.89,62.82,6423700,59.8179
01/05/2012,62.82,65.25,57.76,64.11,8166500,61.2212
01/06/2012,64,69.49,58.91,68.94,5491500,65.8335
02/07/2012,69.15,76.25,65.26,71.21,4667500,68.0012
01/08/2012,71.2,72.48,66,67.27,4530300,64.2388
03/09/2012,67.72,72.98,67.22,72.76,6862000,69.4814
01/10/2012,72.76,79,71.17,72.75,6104700,69.6401
01/11/2012,72.91,75.41,69.81,74.12,5839900,70.9515
03/12/2012,74.12,84.99,74.12,83.45,4291800,79.8827
01/01/2013,83.45,93.1,83.45,87.67,4099700,84.0937
01/02/2013,88.03,95.5,84.75,94.84,4971100,90.9712
01/03/2013,93.2,101.07,89.71,98.68,5352500,94.6546
01/04/2013,97.97,99.29,88.5,91.56,6015000,87.9962
01/05/2013,91.56,94.89,79.45,81.75,6432000,78.568
03/06/2013,81.75,85.99,68.98,76.72,8349400,73.7338
01/07/2013,73.15,83.99,71.8,81.15,18591700,78.1708
01/08/2013,81.69,89.99,80,83.49,12849200,80.4249
02/09/2013,83.8,88.9,80,81.73,6870600,78.7295
01/10/2013,82.5,85.49,80.28,83.28,6095200,80.4138
01/11/2013,82.73,90.05,78.31,89.62,7820500,86.5357
02/12/2013,89.5,98.19,88.6,91.36,9867300,88.99
01/01/2014,91.36,97,84.2,84.42,6351000,82.4094
03/02/2014,84.42,88.51,80.51,86.03,6405400,83.981
03/03/2014,85.45,88.29,80.31,87.83,7338700,85.7382
01/04/2014,87.83,88.89,81,86.73,5483600,84.8603
01/05/2014,86.73,95.49,86.63,92.98,8088200,90.9756
02/06/2014,94.3,97,91.81,92.79,6454300,90.7897
01/07/2014,92.98,94.87,86.51,87.86,5405900,86.1504
01/08/2014,88.5,93.03,87.65,92.05,5562600,90.2588
01/09/2014,92.05,92.29,84.95,85.78,6330600,84.1108
01/10/2014,86.19,87.6,81.01,86.39,9824000,84.9501
03/11/2014,86.3,87.99,73.89,78.8,14454000,77.4866
01/12/2014,78.7,82.7,75.1,81.2,6848900,79.8466
01/01/2015,81.2,81.7,72.05,76.07,7524000,75.0305
02/02/2015,76.07,82.49,76.01,81.19,6658500,80.0806
02/03/2015,81,89.89,79.52,88.52,7249300,87.3104
