Date,Open,High,Low,Close,Volume,Adj Close
01/10/2007,26.2,29.5,25.9,28.5,1470900,12.06628
01/11/2007,28.46,29,23.56,27.23,1152400,11.52859
03/12/2007,27.24,30.5,26.5,28.36,1853200,12.00701
01/01/2008,28.36,29.9,24.1,25.25,1306400,10.6903
01/02/2008,25.6,28.7,25,27.68,1578500,11.71911
03/03/2008,27.68,33.4,26.48,31.93,878800,13.51847
01/04/2008,32,35.7,29.99,33.47,3728200,14.17047
01/05/2008,33.47,40,32,39.45,7059200,17.17217
02/06/2008,39.45,39.7,35.26,37.36,3691300,16.26241
01/07/2008,37.36,38.1,33.5,37.77,2041400,16.44088
01/08/2008,37.78,38.1,34.61,35.66,1143600,15.52242
01/09/2008,35.85,38.5,33.31,37.56,2244500,16.34947
01/10/2008,37.56,38.52,29,35.01,3105900,15.23948
03/11/2008,34.8,37.99,29,35.1,1704100,15.27866
01/12/2008,34.4,36.5,31.7,32.35,961500,14.08161
01/01/2009,32.35,35,29.6,32.07,1906600,13.95973
02/02/2009,32.07,33.6,28.5,29.11,1901100,12.67128
02/03/2009,28.98,38.2,27.16,36.65,2709700,15.95336
01/04/2009,36.8,43.96,32.52,37,2088000,16.10571
01/05/2009,37,43.88,37,38.3,1721300,16.67159
01/06/2009,38.4,40.47,33.55,34.99,1603300,15.23078
01/07/2009,35.2,39.39,33.1,36.48,1899400,15.87936
03/08/2009,36.5,41.88,35,35.83,2688600,15.59642
01/09/2009,36.75,40.89,34.3,38.2,2459300,16.62806
01/10/2009,38.26,43.89,36.4,37.27,2170800,16.22324
02/11/2009,37.27,40.2,36.5,36.8,2517400,16.01865
01/12/2009,37.23,40.51,37.15,38.6,3494800,16.80217
01/01/2010,38.6,45.4,38.5,40,2094900,17.41158
01/02/2010,40,51.68,40,44.3,3321100,19.28332
01/03/2010,43.85,46.5,42.06,42.4,2984800,18.45627
01/04/2010,43,45.1,40.5,41.42,2945700,18.02969
03/05/2010,41.14,45.25,38.65,42.81,4895000,19.16675
01/06/2010,41.89,49.75,41,41.74,3627100,18.68769
01/07/2010,41.99,48.5,41.4,44.69,3183400,20.00845
02/08/2010,45.93,50,44.75,48.78,2136800,21.83961
01/09/2010,49.57,51.51,43.4,49.9,1649300,22.34106
01/10/2010,52.45,56.5,49.7,53.43,1572700,23.9215
01/11/2010,53.39,55.69,51.79,54.33,2430500,24.32444
01/12/2010,54.15,54.64,52.64,54.25,1412000,24.28863
03/01/2011,53.34,54.5,51.34,52.94,1362500,23.70212
01/02/2011,52.76,54.5,49,50.83,1509800,22.75743
02/03/2011,50.95,56.1,49.04,54.55,1975000,24.42294
04/04/2011,54.67,62.98,54.5,61.39,2276800,27.48532
02/05/2011,59.65,62,56.01,60.23,5359000,27.53728
01/06/2011,58.48,64,54,59.91,1958300,27.39098
01/07/2011,61.6,63.19,55,55.46,2237200,25.35643
01/08/2011,55.74,56,22,24.96,12786700,22.82353
01/09/2011,26.1,26.69,21.4,23.19,2058800,21.20503
03/10/2011,23.33,30.06,22.23,28.59,1488600,26.14282
01/11/2011,28.06,28.61,24,25.49,2790500,23.30816
01/12/2011,25.14,27.28,23.69,25.68,1165900,23.4819
02/01/2012,25.7,28.5,25.22,26.89,1248900,24.58833
01/02/2012,26.8,27.99,24.12,25.3,1279600,23.13443
01/03/2012,25.2,27.17,24.13,26.55,1403700,24.27743
02/04/2012,26.37,28.71,26.37,28.65,769300,26.19768
01/05/2012,28.65,30.8,26.53,29.61,1262200,27.38563
01/06/2012,29.71,31.01,26.64,29.99,1214200,27.73708
02/07/2012,29.5,36.79,29.5,34.64,1209200,32.03776
01/08/2012,35.56,37.95,31.6,35.76,16139100,33.07362
03/09/2012,35.4,36.85,34.3,36.02,2867900,33.31409
01/10/2012,36.5,36.99,34.35,34.87,2453300,32.25048
01/11/2012,34.87,36.11,32.43,35.85,3432200,33.15686
03/12/2012,35.52,42.69,35.14,39.21,2091200,36.26445
01/01/2013,39.21,42.98,35.43,35.63,2728700,32.95339
01/02/2013,35.65,36.79,34.2,36.02,1613200,33.31409
01/03/2013,36,36.48,32.5,36.03,2006000,33.32334
01/04/2013,36.01,37.7,33.43,35.58,1855400,32.90715
01/05/2013,35.58,36.74,27.1,29.32,2819600,27.39509
03/06/2013,29.32,29.99,26.01,28.62,12100300,26.74105
01/07/2013,28.62,32.2,28.01,29.95,5553500,27.98373
01/08/2013,30.3,32.07,27,28.48,9185300,26.61024
02/09/2013,28.55,32.1,28.48,29.99,4080800,28.0211
01/10/2013,30,34.56,29.69,33.61,3750600,31.40344
01/11/2013,33.25,34.99,30,34.62,3296100,33.85821
02/12/2013,34.5,37.62,33.5,36.93,4675200,36.11738
01/01/2014,36.93,37.24,32.34,33.35,2373700,32.61616
03/02/2014,33.35,33.83,30.51,31.74,2980500,31.04159
03/03/2014,31.65,33.85,28.52,33.6,4171100,32.86066
01/04/2014,33.76,36.29,32.37,33.46,4044700,32.72374
01/05/2014,33.46,36.75,33.44,35.23,5670500,34.83341
02/06/2014,35.23,40.5,34.81,38.48,4849500,38.04683
01/07/2014,38.48,42.49,37.46,40.26,2320600,39.80679
01/08/2014,40.86,43,39.45,39.73,3350500,39.28276
01/09/2014,39.6,41.29,38,38.51,3523400,38.07649
01/10/2014,38.5,40.65,36.9,40.44,2732900,39.98476
03/11/2014,40.15,40.78,36.86,37.53,2064600,37.10752
01/12/2014,37.51,38.5,32.5,38.08,2765300,37.65133
01/01/2015,38.08,40.99,36.15,38.65,3625000,38.21492
02/02/2015,38.65,42.8,38.31,41.98,3119700,41.50743
02/03/2015,41.6,42.91,37.27,38.52,3407400,38.08638
01/04/2015,38.5,41,36.26,36.63,3724200,36.21766
01/05/2015,36.63,37.89,35.01,35.17,3353700,35.17
01/06/2015,35.02,36.51,34.15,35.62,3279800,35.62
01/07/2015,35.65,37.51,34.81,36.58,2304600,36.58
03/08/2015,36.01,37.4,32.5,35.35,3076200,35.35
01/09/2015,34.8,37.26,33.26,34.94,2502600,34.94
01/10/2015,35.27,35.35,32.1,33.21,3107600,33.21
02/11/2015,33.21,34.94,31.1,31.71,4583500,31.71
01/12/2015,31.71,32.95,30.11,31.1,3726200,31.1
01/01/2016,31.1,31.1,26.92,29.14,5219400,29.14
01/02/2016,29.14,32.6,28.13,32.38,3003200,32.38
01/03/2016,32.48,36.8,32.22,34.49,3311700,34.49
01/04/2016,34.43,35.9,34.43,35.59,4191000,35.59
